freq (Hz),real(aaSP("/PORT0" "/PORT0")) TL_width 1.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 2e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 2.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 3e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 3.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 4e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 4.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 5.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 6e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 6.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 7e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 7.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 8e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 8.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 9e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 9.5e-05 ,real(aaSP("/PORT0" "/PORT0")) TL_width 0.0001 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 1.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 2e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 2.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 3e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 3.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 4e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 4.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 5.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 6e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 6.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 7e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 7.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 8e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 8.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 9e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 9.5e-05 ,imag(aaSP("/PORT0" "/PORT0")) TL_width 0.0001 ,real(aaSP("/PORT0" "/PORT1")) TL_width 1.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 2e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 2.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 3e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 3.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 4e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 4.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 5.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 6e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 6.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 7e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 7.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 8e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 8.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 9e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 9.5e-05 ,real(aaSP("/PORT0" "/PORT1")) TL_width 0.0001 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 1.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 2e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 2.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 3e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 3.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 4e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 4.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 5.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 6e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 6.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 7e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 7.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 8e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 8.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 9e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 9.5e-05 ,imag(aaSP("/PORT0" "/PORT1")) TL_width 0.0001 
0.000,326.3E-6,244.7E-6,195.8E-6,163.2E-6,139.9E-6,122.4E-6,108.8E-6,97.91E-6,89.01E-6,81.59E-6,75.62E-6,70.50E-6,66.06E-6,62.18E-6,58.75E-6,55.71E-6,52.98E-6,50.53E-6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,999.7E-3,999.8E-3,999.8E-3,999.8E-3,999.9E-3,999.9E-3,999.9E-3,999.9E-3,999.9E-3,999.9E-3,999.9E-3,999.9E-3,999.9E-3,999.9E-3,999.9E-3,999.9E-3,999.9E-3,999.9E-3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.024E9,1.228E-3,1.062E-3,949.5E-6,857.2E-6,783.6E-6,721.6E-6,666.4E-6,618.5E-6,574.5E-6,535.9E-6,499.6E-6,466.3E-6,434.9E-6,405.0E-6,377.1E-6,349.6E-6,324.3E-6,299.4E-6,9.312E-3,7.338E-3,6.408E-3,5.164E-3,4.182E-3,3.281E-3,2.323E-3,1.484E-3,626.4E-6,-111.3E-6,-863.9E-6,-1.573E-3,-2.263E-3,-2.945E-3,-3.588E-3,-4.245E-3,-4.844E-3,-5.447E-3,998.7E-3,998.9E-3,999.0E-3,999.1E-3,999.1E-3,999.2E-3,999.2E-3,999.3E-3,999.3E-3,999.3E-3,999.3E-3,999.3E-3,999.4E-3,999.4E-3,999.4E-3,999.4E-3,999.4E-3,999.4E-3,-19.45E-3,-19.28E-3,-18.47E-3,-18.25E-3,-17.96E-3,-17.75E-3,-17.71E-3,-17.66E-3,-17.72E-3,-17.72E-3,-17.80E-3,-17.90E-3,-18.02E-3,-18.17E-3,-18.33E-3,-18.52E-3,-18.69E-3,-18.89E-3
2.048E9,2.138E-3,1.816E-3,1.607E-3,1.421E-3,1.272E-3,1.144E-3,1.025E-3,921.2E-6,822.0E-6,735.3E-6,650.8E-6,571.8E-6,495.8E-6,421.6E-6,351.1E-6,279.8E-6,213.8E-6,147.2E-6,18.04E-3,14.15E-3,12.34E-3,9.893E-3,7.961E-3,6.185E-3,4.291E-3,2.632E-3,935.5E-6,-524.3E-6,-2.015E-3,-3.421E-3,-4.789E-3,-6.142E-3,-7.420E-3,-8.724E-3,-9.913E-3,-11.11E-3,997.7E-3,997.9E-3,998.1E-3,998.2E-3,998.3E-3,998.4E-3,998.5E-3,998.6E-3,998.6E-3,998.6E-3,998.7E-3,998.7E-3,998.7E-3,998.7E-3,998.7E-3,998.7E-3,998.7E-3,998.7E-3,-38.33E-3,-38.03E-3,-36.46E-3,-36.05E-3,-35.51E-3,-35.11E-3,-35.07E-3,-34.99E-3,-35.11E-3,-35.13E-3,-35.31E-3,-35.51E-3,-35.76E-3,-36.08E-3,-36.39E-3,-36.80E-3,-37.15E-3,-37.55E-3
3.072E9,3.261E-3,2.722E-3,2.383E-3,2.065E-3,1.812E-3,1.592E-3,1.380E-3,1.195E-3,1.015E-3,858.1E-6,702.1E-6,555.1E-6,411.9E-6,270.4E-6,135.4E-6,-3.398E-6,-131.8E-6,-262.9E-6,26.69E-3,20.90E-3,18.22E-3,14.57E-3,11.69E-3,9.049E-3,6.224E-3,3.750E-3,1.217E-3,-961.1E-6,-3.188E-3,-5.286E-3,-7.330E-3,-9.352E-3,-11.26E-3,-13.21E-3,-14.98E-3,-16.77E-3,996.3E-3,996.6E-3,997.0E-3,997.2E-3,997.3E-3,997.5E-3,997.6E-3,997.6E-3,997.7E-3,997.7E-3,997.7E-3,997.7E-3,997.7E-3,997.7E-3,997.7E-3,997.7E-3,997.6E-3,997.6E-3,-57.11E-3,-56.72E-3,-54.39E-3,-53.81E-3,-53.02E-3,-52.44E-3,-52.39E-3,-52.28E-3,-52.47E-3,-52.51E-3,-52.79E-3,-53.09E-3,-53.48E-3,-53.96E-3,-54.43E-3,-55.04E-3,-55.56E-3,-56.18E-3
4.096E9,4.680E-3,3.856E-3,3.349E-3,2.856E-3,2.465E-3,2.122E-3,1.787E-3,1.495E-3,1.205E-3,953.9E-6,701.2E-6,462.2E-6,228.0E-6,-5.042E-6,-227.9E-6,-458.8E-6,-672.5E-6,-891.7E-6,35.14E-3,27.48E-3,23.95E-3,19.12E-3,15.31E-3,11.81E-3,8.062E-3,4.781E-3,1.420E-3,-1.470E-3,-4.426E-3,-7.213E-3,-9.927E-3,-12.61E-3,-15.15E-3,-17.73E-3,-20.09E-3,-22.47E-3,994.5E-3,995.0E-3,995.5E-3,995.8E-3,996.0E-3,996.2E-3,996.3E-3,996.4E-3,996.5E-3,996.5E-3,996.5E-3,996.5E-3,996.5E-3,996.4E-3,996.4E-3,996.3E-3,996.2E-3,996.2E-3,-75.70E-3,-75.24E-3,-72.18E-3,-71.43E-3,-70.40E-3,-69.65E-3,-69.60E-3,-69.46E-3,-69.73E-3,-69.80E-3,-70.18E-3,-70.59E-3,-71.10E-3,-71.75E-3,-72.38E-3,-73.20E-3,-73.90E-3,-74.72E-3
5.120E9,6.368E-3,5.193E-3,4.482E-3,3.775E-3,3.213E-3,2.720E-3,2.231E-3,1.804E-3,1.379E-3,1.009E-3,635.3E-6,280.8E-6,-67.82E-6,-416.0E-6,-749.6E-6,-1.097E-3,-1.418E-3,-1.749E-3,43.49E-3,33.99E-3,29.61E-3,23.61E-3,18.89E-3,14.53E-3,9.867E-3,5.784E-3,1.601E-3,-1.998E-3,-5.678E-3,-9.147E-3,-12.53E-3,-15.87E-3,-19.03E-3,-22.25E-3,-25.18E-3,-28.14E-3,992.3E-3,993.0E-3,993.7E-3,994.1E-3,994.4E-3,994.7E-3,994.8E-3,994.9E-3,995.0E-3,995.0E-3,995.0E-3,995.0E-3,994.9E-3,994.8E-3,994.8E-3,994.6E-3,994.5E-3,994.4E-3,-94.19E-3,-93.68E-3,-89.90E-3,-88.99E-3,-87.73E-3,-86.81E-3,-86.76E-3,-86.61E-3,-86.95E-3,-87.05E-3,-87.53E-3,-88.05E-3,-88.69E-3,-89.50E-3,-90.29E-3,-91.31E-3,-92.18E-3,-93.20E-3
6.144E9,8.331E-3,6.739E-3,5.787E-3,4.825E-3,4.060E-3,3.386E-3,2.714E-3,2.126E-3,1.537E-3,1.026E-3,506.0E-6,12.67E-6,-473.8E-6,-960.8E-6,-1.428E-3,-1.915E-3,-2.366E-3,-2.832E-3,51.85E-3,40.50E-3,35.29E-3,28.13E-3,22.48E-3,17.28E-3,11.70E-3,6.822E-3,1.819E-3,-2.485E-3,-6.887E-3,-11.04E-3,-15.08E-3,-19.08E-3,-22.85E-3,-26.70E-3,-30.21E-3,-33.75E-3,989.8E-3,990.7E-3,991.6E-3,992.1E-3,992.5E-3,992.8E-3,993.0E-3,993.2E-3,993.2E-3,993.3E-3,993.2E-3,993.2E-3,993.1E-3,992.9E-3,992.8E-3,992.6E-3,992.4E-3,992.2E-3,-112.7E-3,-112.1E-3,-107.6E-3,-106.6E-3,-105.1E-3,-104.0E-3,-103.9E-3,-103.8E-3,-104.2E-3,-104.3E-3,-104.9E-3,-105.5E-3,-106.3E-3,-107.2E-3,-108.2E-3,-109.4E-3,-110.5E-3,-111.7E-3
7.168E9,10.59E-3,8.518E-3,7.287E-3,6.028E-3,5.026E-3,4.142E-3,3.255E-3,2.479E-3,1.699E-3,1.022E-3,331.8E-6,-324.3E-6,-972.1E-6,-1.622E-3,-2.245E-3,-2.897E-3,-3.500E-3,-4.123E-3,60.06E-3,46.91E-3,40.88E-3,32.57E-3,26.01E-3,19.97E-3,13.49E-3,7.818E-3,2.002E-3,-3.000E-3,-8.116E-3,-12.94E-3,-17.64E-3,-22.28E-3,-26.67E-3,-31.15E-3,-35.22E-3,-39.33E-3,986.9E-3,988.0E-3,989.1E-3,989.8E-3,990.3E-3,990.7E-3,990.9E-3,991.1E-3,991.1E-3,991.2E-3,991.1E-3,991.1E-3,990.9E-3,990.7E-3,990.5E-3,990.2E-3,990.0E-3,989.7E-3,-131.0E-3,-130.5E-3,-125.3E-3,-124.1E-3,-122.3E-3,-121.1E-3,-121.1E-3,-120.9E-3,-121.4E-3,-121.5E-3,-122.2E-3,-122.9E-3,-123.8E-3,-124.9E-3,-126.0E-3,-127.4E-3,-128.7E-3,-130.1E-3
8.192E9,13.14E-3,10.52E-3,8.976E-3,7.378E-3,6.108E-3,4.985E-3,3.853E-3,2.862E-3,1.863E-3,996.9E-6,111.6E-6,-730.7E-6,-1.563E-3,-2.399E-3,-3.202E-3,-4.042E-3,-4.819E-3,-5.623E-3,68.12E-3,53.18E-3,46.36E-3,36.91E-3,29.46E-3,22.59E-3,15.22E-3,8.770E-3,2.151E-3,-3.541E-3,-9.364E-3,-14.85E-3,-20.20E-3,-25.49E-3,-30.48E-3,-35.57E-3,-40.20E-3,-44.87E-3,983.6E-3,984.9E-3,986.4E-3,987.1E-3,987.8E-3,988.3E-3,988.6E-3,988.8E-3,988.8E-3,988.8E-3,988.8E-3,988.6E-3,988.4E-3,988.2E-3,987.9E-3,987.5E-3,987.2E-3,986.8E-3,-149.2E-3,-148.6E-3,-142.8E-3,-141.4E-3,-139.5E-3,-138.1E-3,-138.1E-3,-137.9E-3,-138.5E-3,-138.6E-3,-139.4E-3,-140.2E-3,-141.3E-3,-142.5E-3,-143.8E-3,-145.4E-3,-146.8E-3,-148.4E-3
9.216E9,15.97E-3,12.74E-3,10.85E-3,8.873E-3,7.302E-3,5.912E-3,4.505E-3,3.273E-3,2.028E-3,949.1E-6,-155.5E-6,-1.207E-3,-2.248E-3,-3.293E-3,-4.297E-3,-5.349E-3,-6.321E-3,-7.328E-3,76.01E-3,59.33E-3,51.73E-3,41.17E-3,32.84E-3,25.15E-3,16.90E-3,9.678E-3,2.266E-3,-4.108E-3,-10.63E-3,-16.78E-3,-22.77E-3,-28.68E-3,-34.27E-3,-39.97E-3,-45.15E-3,-50.37E-3,979.9E-3,981.5E-3,983.3E-3,984.2E-3,985.0E-3,985.6E-3,985.9E-3,986.1E-3,986.2E-3,986.2E-3,986.1E-3,985.9E-3,985.6E-3,985.3E-3,984.9E-3,984.5E-3,984.0E-3,983.5E-3,-167.3E-3,-166.7E-3,-160.2E-3,-158.7E-3,-156.6E-3,-155.1E-3,-155.0E-3,-154.8E-3,-155.5E-3,-155.7E-3,-156.6E-3,-157.5E-3,-158.6E-3,-160.1E-3,-161.5E-3,-163.3E-3,-164.8E-3,-166.6E-3
10.24E9,19.07E-3,15.17E-3,12.89E-3,10.50E-3,8.602E-3,6.915E-3,5.205E-3,3.705E-3,2.189E-3,873.9E-6,-474.0E-6,-1.758E-3,-3.028E-3,-4.306E-3,-5.533E-3,-6.820E-3,-8.009E-3,-9.240E-3,83.78E-3,65.38E-3,57.02E-3,45.36E-3,36.17E-3,27.68E-3,18.56E-3,10.57E-3,2.371E-3,-4.677E-3,-11.89E-3,-18.69E-3,-25.31E-3,-31.85E-3,-38.02E-3,-44.31E-3,-50.04E-3,-55.80E-3,975.8E-3,977.7E-3,979.8E-3,980.9E-3,981.9E-3,982.6E-3,983.0E-3,983.2E-3,983.2E-3,983.3E-3,983.1E-3,982.9E-3,982.6E-3,982.1E-3,981.7E-3,981.1E-3,980.5E-3,979.9E-3,-185.2E-3,-184.7E-3,-177.5E-3,-175.9E-3,-173.6E-3,-171.9E-3,-171.9E-3,-171.7E-3,-172.5E-3,-172.7E-3,-173.7E-3,-174.7E-3,-176.0E-3,-177.5E-3,-179.1E-3,-181.1E-3,-182.7E-3,-184.7E-3
11.26E9,22.44E-3,17.81E-3,15.11E-3,12.27E-3,10.00E-3,7.992E-3,5.948E-3,4.156E-3,2.340E-3,766.3E-6,-848.6E-6,-2.387E-3,-3.911E-3,-5.443E-3,-6.915E-3,-8.459E-3,-9.885E-3,-11.36E-3,91.53E-3,71.43E-3,62.33E-3,49.58E-3,39.53E-3,30.24E-3,20.26E-3,11.51E-3,2.535E-3,-5.182E-3,-13.08E-3,-20.52E-3,-27.77E-3,-34.92E-3,-41.67E-3,-48.56E-3,-54.82E-3,-61.11E-3,971.3E-3,973.5E-3,976.1E-3,977.4E-3,978.5E-3,979.3E-3,979.7E-3,980.0E-3,980.0E-3,980.1E-3,979.8E-3,979.6E-3,979.2E-3,978.6E-3,978.1E-3,977.4E-3,976.7E-3,975.9E-3,-203.0E-3,-202.6E-3,-194.8E-3,-193.2E-3,-190.7E-3,-188.8E-3,-188.9E-3,-188.6E-3,-189.4E-3,-189.7E-3,-190.8E-3,-191.9E-3,-193.3E-3,-195.0E-3,-196.7E-3,-198.8E-3,-200.6E-3,-202.8E-3
12.29E9,26.08E-3,20.66E-3,17.51E-3,14.18E-3,11.52E-3,9.154E-3,6.747E-3,4.636E-3,2.495E-3,639.9E-6,-1.266E-3,-3.082E-3,-4.880E-3,-6.689E-3,-8.427E-3,-10.25E-3,-11.93E-3,-13.68E-3,99.12E-3,77.36E-3,67.54E-3,53.72E-3,42.83E-3,32.75E-3,21.92E-3,12.43E-3,2.685E-3,-5.690E-3,-14.26E-3,-22.33E-3,-30.20E-3,-37.96E-3,-45.28E-3,-52.74E-3,-59.52E-3,-66.34E-3,966.5E-3,969.0E-3,972.0E-3,973.5E-3,974.8E-3,975.8E-3,976.2E-3,976.5E-3,976.5E-3,976.5E-3,976.3E-3,975.9E-3,975.5E-3,974.8E-3,974.2E-3,973.3E-3,972.5E-3,971.6E-3,-220.8E-3,-220.4E-3,-212.0E-3,-210.3E-3,-207.6E-3,-205.6E-3,-205.7E-3,-205.5E-3,-206.4E-3,-206.6E-3,-207.8E-3,-209.0E-3,-210.5E-3,-212.4E-3,-214.2E-3,-216.5E-3,-218.4E-3,-220.7E-3
13.31E9,29.99E-3,23.72E-3,20.09E-3,16.22E-3,13.14E-3,10.40E-3,7.601E-3,5.146E-3,2.654E-3,494.4E-6,-1.725E-3,-3.840E-3,-5.935E-3,-8.044E-3,-10.07E-3,-12.19E-3,-14.15E-3,-16.18E-3,106.5E-3,83.16E-3,72.64E-3,57.78E-3,46.05E-3,35.21E-3,23.54E-3,13.32E-3,2.821E-3,-6.202E-3,-15.43E-3,-24.13E-3,-32.60E-3,-40.96E-3,-48.84E-3,-56.86E-3,-64.15E-3,-71.48E-3,961.3E-3,964.2E-3,967.6E-3,969.3E-3,970.8E-3,971.9E-3,972.4E-3,972.8E-3,972.7E-3,972.7E-3,972.4E-3,972.0E-3,971.5E-3,970.7E-3,969.9E-3,968.9E-3,968.0E-3,966.9E-3,-238.3E-3,-238.1E-3,-229.1E-3,-227.3E-3,-224.5E-3,-222.4E-3,-222.5E-3,-222.2E-3,-223.2E-3,-223.5E-3,-224.7E-3,-226.1E-3,-227.7E-3,-229.6E-3,-231.6E-3,-234.0E-3,-236.1E-3,-238.6E-3
14.34E9,34.15E-3,26.99E-3,22.84E-3,18.41E-3,14.87E-3,11.72E-3,8.507E-3,5.684E-3,2.815E-3,329.5E-6,-2.227E-3,-4.663E-3,-7.076E-3,-9.504E-3,-11.84E-3,-14.28E-3,-16.54E-3,-18.88E-3,113.8E-3,88.83E-3,77.62E-3,61.74E-3,49.21E-3,37.61E-3,25.12E-3,14.18E-3,2.942E-3,-6.717E-3,-16.60E-3,-25.91E-3,-34.97E-3,-43.91E-3,-52.33E-3,-60.91E-3,-68.70E-3,-76.53E-3,955.7E-3,959.0E-3,962.9E-3,964.8E-3,966.5E-3,967.8E-3,968.3E-3,968.7E-3,968.7E-3,968.7E-3,968.3E-3,967.8E-3,967.1E-3,966.3E-3,965.4E-3,964.2E-3,963.1E-3,961.8E-3,-255.7E-3,-255.7E-3,-246.1E-3,-244.2E-3,-241.2E-3,-239.0E-3,-239.2E-3,-238.9E-3,-240.0E-3,-240.3E-3,-241.6E-3,-243.0E-3,-244.7E-3,-246.8E-3,-248.9E-3,-251.5E-3,-253.7E-3,-256.3E-3
15.36E9,38.56E-3,30.45E-3,25.76E-3,20.72E-3,16.71E-3,13.13E-3,9.464E-3,6.249E-3,2.978E-3,145.1E-6,-2.770E-3,-5.548E-3,-8.300E-3,-11.07E-3,-13.73E-3,-16.52E-3,-19.09E-3,-21.75E-3,120.8E-3,94.34E-3,82.49E-3,65.62E-3,52.30E-3,39.96E-3,26.67E-3,15.01E-3,3.050E-3,-7.234E-3,-17.75E-3,-27.66E-3,-37.30E-3,-46.81E-3,-55.77E-3,-64.88E-3,-73.16E-3,-81.47E-3,949.8E-3,953.4E-3,957.8E-3,960.0E-3,961.9E-3,963.3E-3,963.9E-3,964.4E-3,964.3E-3,964.3E-3,963.9E-3,963.3E-3,962.5E-3,961.5E-3,960.5E-3,959.2E-3,957.9E-3,956.5E-3,-272.8E-3,-273.0E-3,-262.9E-3,-261.0E-3,-257.9E-3,-255.6E-3,-255.7E-3,-255.5E-3,-256.6E-3,-257.0E-3,-258.4E-3,-259.9E-3,-261.7E-3,-263.9E-3,-266.1E-3,-268.8E-3,-271.1E-3,-273.8E-3
16.38E9,43.21E-3,34.10E-3,28.84E-3,23.17E-3,18.65E-3,14.61E-3,10.47E-3,6.839E-3,3.143E-3,-59.09E-6,-3.355E-3,-6.496E-3,-9.607E-3,-12.74E-3,-15.74E-3,-18.90E-3,-21.80E-3,-24.81E-3,127.7E-3,99.71E-3,87.24E-3,69.39E-3,55.31E-3,42.25E-3,28.16E-3,15.82E-3,3.144E-3,-7.751E-3,-18.90E-3,-29.39E-3,-39.60E-3,-49.67E-3,-59.14E-3,-68.78E-3,-77.53E-3,-86.31E-3,943.5E-3,947.6E-3,952.5E-3,954.9E-3,957.0E-3,958.6E-3,959.3E-3,959.8E-3,959.7E-3,959.6E-3,959.1E-3,958.5E-3,957.6E-3,956.5E-3,955.3E-3,953.8E-3,952.4E-3,950.7E-3,-289.8E-3,-290.2E-3,-279.6E-3,-277.7E-3,-274.4E-3,-272.0E-3,-272.3E-3,-272.0E-3,-273.2E-3,-273.6E-3,-275.1E-3,-276.7E-3,-278.6E-3,-280.9E-3,-283.2E-3,-286.1E-3,-288.5E-3,-291.3E-3
17.41E9,48.08E-3,37.93E-3,32.08E-3,25.74E-3,20.68E-3,16.16E-3,11.53E-3,7.455E-3,3.308E-3,-283.1E-6,-3.981E-3,-7.505E-3,-11.00E-3,-14.51E-3,-17.88E-3,-21.41E-3,-24.67E-3,-28.04E-3,134.3E-3,104.9E-3,91.86E-3,73.07E-3,58.23E-3,44.47E-3,29.62E-3,16.60E-3,3.224E-3,-8.270E-3,-20.02E-3,-31.09E-3,-41.86E-3,-52.46E-3,-62.45E-3,-72.59E-3,-81.80E-3,-91.03E-3,936.9E-3,941.4E-3,946.8E-3,949.5E-3,951.9E-3,953.6E-3,954.3E-3,954.9E-3,954.7E-3,954.7E-3,954.1E-3,953.4E-3,952.4E-3,951.1E-3,949.8E-3,948.1E-3,946.5E-3,944.7E-3,-306.6E-3,-307.3E-3,-296.1E-3,-294.3E-3,-290.9E-3,-288.4E-3,-288.7E-3,-288.4E-3,-289.7E-3,-290.1E-3,-291.7E-3,-293.4E-3,-295.3E-3,-297.8E-3,-300.1E-3,-303.1E-3,-305.6E-3,-308.6E-3
18.43E9,53.18E-3,41.94E-3,35.46E-3,28.43E-3,22.81E-3,17.79E-3,12.63E-3,8.093E-3,3.474E-3,-527.1E-6,-4.648E-3,-8.575E-3,-12.46E-3,-16.38E-3,-20.13E-3,-24.06E-3,-27.69E-3,-31.44E-3,140.8E-3,110.0E-3,96.34E-3,76.63E-3,61.07E-3,46.63E-3,31.02E-3,17.34E-3,3.290E-3,-8.787E-3,-21.14E-3,-32.76E-3,-44.07E-3,-55.20E-3,-65.67E-3,-76.31E-3,-85.96E-3,-95.63E-3,930.0E-3,934.8E-3,940.9E-3,943.8E-3,946.4E-3,948.3E-3,949.1E-3,949.7E-3,949.5E-3,949.5E-3,948.8E-3,948.0E-3,946.9E-3,945.5E-3,944.0E-3,942.1E-3,940.3E-3,938.3E-3,-323.1E-3,-324.2E-3,-312.5E-3,-310.7E-3,-307.2E-3,-304.6E-3,-305.0E-3,-304.8E-3,-306.1E-3,-306.6E-3,-308.2E-3,-309.9E-3,-312.0E-3,-314.5E-3,-317.0E-3,-320.1E-3,-322.7E-3,-325.7E-3
19.46E9,58.48E-3,46.11E-3,39.00E-3,31.23E-3,25.03E-3,19.48E-3,13.77E-3,8.755E-3,3.639E-3,-791.1E-6,-5.355E-3,-9.704E-3,-14.01E-3,-18.34E-3,-22.49E-3,-26.85E-3,-30.86E-3,-35.00E-3,147.0E-3,114.8E-3,100.7E-3,80.09E-3,63.83E-3,48.72E-3,32.38E-3,18.06E-3,3.342E-3,-9.304E-3,-22.23E-3,-34.40E-3,-46.23E-3,-57.87E-3,-68.82E-3,-79.94E-3,-90.01E-3,-100.1E-3,922.8E-3,928.0E-3,934.6E-3,937.8E-3,940.7E-3,942.8E-3,943.6E-3,944.2E-3,944.0E-3,944.0E-3,943.2E-3,942.3E-3,941.1E-3,939.5E-3,937.8E-3,935.8E-3,933.8E-3,931.6E-3,-339.5E-3,-340.8E-3,-328.8E-3,-327.0E-3,-323.4E-3,-320.8E-3,-321.2E-3,-321.0E-3,-322.4E-3,-322.9E-3,-324.6E-3,-326.4E-3,-328.5E-3,-331.2E-3,-333.7E-3,-336.9E-3,-339.6E-3,-342.7E-3
20.48E9,63.98E-3,50.45E-3,42.67E-3,34.15E-3,27.34E-3,21.24E-3,14.96E-3,9.437E-3,3.803E-3,-1.075E-3,-6.102E-3,-10.89E-3,-15.63E-3,-20.40E-3,-24.97E-3,-29.76E-3,-34.17E-3,-38.72E-3,153.0E-3,119.5E-3,104.9E-3,83.43E-3,66.50E-3,50.74E-3,33.69E-3,18.74E-3,3.380E-3,-9.819E-3,-23.31E-3,-36.01E-3,-48.35E-3,-60.48E-3,-71.89E-3,-83.46E-3,-93.95E-3,-104.4E-3,915.3E-3,920.8E-3,928.1E-3,931.5E-3,934.6E-3,936.9E-3,937.8E-3,938.5E-3,938.3E-3,938.2E-3,937.4E-3,936.3E-3,935.0E-3,933.2E-3,931.4E-3,929.1E-3,927.0E-3,924.5E-3,-355.6E-3,-357.3E-3,-344.9E-3,-343.1E-3,-339.5E-3,-336.8E-3,-337.2E-3,-337.1E-3,-338.6E-3,-339.1E-3,-340.9E-3,-342.8E-3,-345.0E-3,-347.7E-3,-350.3E-3,-353.6E-3,-356.3E-3,-359.5E-3
